31.681 - 34.172:  Tchau.
274.872 - 303.609:  Você consegue vender, inclusive, para todo o Brasil ou para todo mundo, potencialmente. Você já deve conhecer a Hotmart, né? Vocês devem ter comprado alguma coisa, porque meio que... Enorme, né? Todo mundo quer saber alguma coisa. Talvez você, tipo, fazer abelha, como criar abelha sem ferrão, né? Então, se você quer produzir algum conteúdo nesse sentido aí, conheça a Hotmart, o link está aqui embaixo e está aí no QR Code também, beleza? Deixa eu ver aí agora o emblema, Jansão.
303.609 - 322.585:  Olha aí, ó. Vocês aí falando sobre dinheiro indo embora. Olha lá. Legal. Parabéns, né? Olha o cérebro ali, dinheiro, comportamento, emoção. Ficou muito bom. Você vê que o cara tá até meio triste, né? Que o dinheiro tá indo embora ali, ó, de azul. Você que tá assistindo, você pode resgatar esse emblema aí.
322.585 - 348.473:  lá na nv99.com.br barra resgatar e usar o código PRIMEIROTEMA, porque esse é o nosso primeiro programa temático de verdade. Bom, você tem 24 horas para resgatar esse emblema aí, depois a gente para de emitir, só vai ter acesso quem resgatou. E se vocês quiserem mandar uma mensagem, fica à vontade, o link está fixado aí nos comentários da live, tá bom? Ô Jéssica, por que você resolveu falar desse tema, cara?
349.189 - 366.476:  Começou isso há muitos anos, né? Eu comecei a estudar finanças comportamentais há quase 14 anos. Então, é bastante tempo. Eu entrei na faculdade de administração, só que eu sempre gostei de estudar comportamento. Aí eu achei que eu ia ir para RH, por exemplo, né?
366.476 - 395.742:  Só que eu gostava muito de números e me saía bem com números. E aí, quando eu descobri finanças comportamentais, eu percebi que, nossa, eu posso vincular comportamento humano com dinheiro. E faz todo sentido. Porque quando a gente entende que, na verdade, o nosso extrato... Por exemplo, as pessoas pegam lá e ficam assim... Quanto eu tenho na conta? Quanto eu posso gastar? Quanto eu posso economizar? Só que, na verdade, o que está ali no teu extrato bancário é só uma representação do teu comportamento. Aham.
395.742 - 423.387:  É eu que gastei, é eu que... É verdade. Foi eu que passei o cartão de crédito, foi eu que um dia estava estressado e disse vou azar e gastar tudo. Então, é o comportamento que vai construir o teu resultado financeiro. Quando a gente consegue entender que é o comportamento que vai construir resultado financeiro, a gente começa a olhar o dinheiro de uma outra forma. E isso me encantou. Eu comecei a estudar endividamento, materialismo, compra compulsiva, isso...
423.387 - 441.101:  Há 14 anos atrás. E aí dali fui fazer mestrado, doutorado na área, para que eu fosse me aprofundar cada vez mais nisso e realmente trazer esse entendimento para as pessoas. Bom, então se o meu extrato não é só o número, o que eu tenho que entender além disso? E aí foi que eu fui para esse tema.
441.237 - 470.179:  É interessante, né? Porque é um nível de consciência, talvez, que as pessoas nem prestam atenção. Muito. O cara, não sei, às vezes ele viu um tênis muito maneiro no Instagram e ele só queria ter aquele tênis muito maneiro, não pensou muito no que ia acontecer. Ah, são só umas parcelinhas aqui de CMRs. Junto com as outras parcelinhas de CMRs, vira, sei lá, um salário mínimo. E aí já fudeu tudo, né? Eu já passei por isso. Eu já me endividei por causa de 700 MRs, cara.
470.179 - 499.326:  E foi virando uma bola de neve? Foi virando uma bola de neve sinistra, cara. Ah, não sei se vocês viram recentemente, saiu um artigo aí, em vários jornais aí, né? Falando de uma mulher que acho que em 2020, ela tava devendo 5 mil reais no cartão de crédito, aí ela não conseguiu pagar, porque acho que ela perdeu o emprego, sei lá. Aí foi juros sobre juros sobre juros, agora tá 968 mil reais a dívida. Caramba. Aí o título do artigo, né, que tá em todos os sites, é só botar no Google, é de 5 mil a 1 milhão.
499.326 - 529.036:  Em dívida. Normalmente os coaches falam isso de... Do mil ao milhão. Ali é a dívida do cartão. Do cinco mil ao milhão de dívida, lascando. Quanto tempo? Tipo, acho que era 2020. Então, quatro anos. É absurdo os juros, né, mano? E é interessante porque tem tudo a ver com a nossa mentalidade. Por isso que, por exemplo, no meu canal... Eu não sou um especialista em investimentos. Eu gosto mais de falar de mentalidade do que de investimento, inclusive. Porque tudo começa na cabeça...
529.036 - 545.657:  E, ao mesmo tempo, a forma com que a gente gasta o nosso dinheiro vai depender da nossa mentalidade e a nossa saúde mental vai depender de como está a nossa vida financeira. Puts, cara, pior que isso é total verdade. Os principais dores de cabeça que a gente...
545.657 - 573.131:  tem no dia a dia quando a gente é pobre é por causa de grana mesmo. Sim. E não é só quando é pobre do ponto de vista absoluto, né? Por exemplo, se ela pega... Ah, uma pessoa é pobre e ganha um salário mínimo. Não, uma pessoa pode ser pobre ganhando 50 mil reais. Sim. E aí, dependendo do nível de problema que ela tenha, esse nível de problema vai causar tanto dano emocional, psicológico, tanto é que problema financeiro é um dos maiores motivos de ansiedade e depressão.
573.131 - 581.408:  E problema financeiro, dívida, aumenta em 3% o risco da pessoa, inclusive, cometer suicídio.
581.834 - 611.834:  Hum, treta, né? E é fogo porque é um negócio que tem o poder de ferrar toda a nossa vida e não se estuda sobre isso. Principalmente por causa do problema da escola. Nunca a gente teve educação financeira, então todo mundo acha que educação financeira não é algo a ser estudado. Não tinha isso na escola, tem que estudar matemática, ciências, biologia, literatura portuguesa, os Lusíadas, caramba, mano, que raio de currículo carniça é esse, né, mano?
611.834 - 628.319:  Tipo, tem tudo quanto é coisa na escola de porcaria e educação financeira, que causa ansiedade, estresse, insônia, depressão, divórcio, suicídio. Não, não, isso não precisa. Não é, meu? É um bagulho irritante, né? Eu entendo, mas é que assim, eu gosto pra caralho de Lusíadas.
628.319 - 655.52:  É o Lusíada, que é o fogo, amor é fogo, que arde sem se ver, de cacila. Eu não lembro nada disso. Mas assim, beleza, eu entendi. Eu também acho que tem que ter... Não é tão útil quanto a educação financeira na vida cotidiana do brasileiro. Com certeza, com certeza. Então você é um profundo admirador de Lusíada. Não sou um profundo admirador, não. Eu estudei na faculdade. E eu lembro que eu curti. Mas eu concordo contigo, que a educação financeira é...
656.425 - 680.589:  Eu não tenho um sex appeal que a galera vai lá estudar mesmo. Em geral, a gente meio que acha que sabe. A gente meio que acha que... Ah, esse Deus sem me virar, pô. Eu acho que esse prazer começa a vir quando ela começa a estudar e vê que gera mudança. Tipo assim, ela começa a investir e vê como é ter dinheiro, ela vai começar a gostar e dar mais atenção. Só que é tão pouco falar da educação financeira...
680.589 - 700.674:  Que acho que não fede nem cheira, não vai mudar em nada. Vai, vai mudar a tua vida totalmente. Um livro, alguma coisa assim, né? Mas ainda bem que com a internet, né? Por exemplo, você falou que começou há 14 anos, né? Que bom que teve esse avanço da internet pra você conseguir chegar muito mais longe agora com esse conteúdo que até então não era falado em lugar nenhum, né?
700.674 - 718.353:  E é interessante também o ponto da educação financeira, porque quando a gente olha para, por exemplo, como que a gente aprende a escrever, né? A gente aprende a escrever, primeiro tu lá vai aprender o alfabeto, depois tu vai aprender a montar uma palavra, depois tu vai aprender a escrever, interpretar o negócio e ler um texto, né?
718.353 - 736.084:  Em finanças acontece a mesma coisa. Então, nos falta, além da educação financeira, que é... O que é educação financeira? Conhecimento. O que eu vou investir? Como eu vou cuidar do meu dinheiro e tal? Mas a gente chama de alfabetização financeira. Que aí sim a gente tem um gargalo ainda maior.
736.084 - 761.817:  O que é alfabetização financeira? Não basta eu conhecer. É como eu ter um carro e não saber dirigir. O que vai adiantar com aquele carro? Então, a alfabetização financeira vai incorporar atitude, que são, a grosso modo, as tuas crenças, que é o que o Duda estava falando em relação ao que a pessoa pensa, que vai mudar a forma como a pessoa se comporta. Então, se ela pensa assim, é só mais 700 reais aqui que eu vou passar no cartão de crédito?
761.817 - 790.998:  ela vai ampliando ali a condição dela, né? Então, como ela vê o dinheiro, como se ela se relaciona, qual é a perspectiva dela, ou seja, a atitude, o conhecimento, saber o que fazer, e o comportamento, que é agir efetivamente na direção daqueles objetivos, agir na direção, porque às vezes a gente coloca um objetivo assim, tá, esse ano vou resolver minha vida, vou gastar menos, vamos ser o quê. Aí chega, começa o ano,
792.159 - 819.701:  Ah, 700 reais disso. Passei o cartão, outra coisa, outra coisa, outra coisa. Quando vê, ela já até esqueceu que ela tinha estabelecido um objetivo. Cara, eu lembro de uma vez que foi bem específico. Eu morava em Curitiba nessa época. A gente queria almoçar em algum lugar legal. Eu fiquei assim, mas eu não tenho dinheiro, cara. Fiquei pensando, tem que cuidar, tem que ter dinheiro, tem que guardar as paradas, fazer direitinho isso aqui.
819.701 - 837.022:  Aí, pô, mas deixa eu ver aqui como é que tá o cartão. Aí eu olho o cartão, aí eu olho as paradas assim, pô, já tô meio fudido mesmo, né? O que é um peidinho pra quem tá cagado, né? Vou lá, vou lá nesse, vamos lá comer lá. Já tô fudido, foda-se. Isso é um bagulho que rola pra caramba também. Rola, rola.
837.329 - 858.78:  Então, como é que a gente combate isso? Você devia combater isso? Porque assim, a vida já é meio merda mesmo, entendeu? Tem umas paradas que é gostoso, né? É, mas aí piora, né? Mas uma coisa interessante em relação a isso que tu comentaste, né? Por exemplo, quem estabelece uma meta, digamos. Ah, eu vou economizar lá, sei lá, 3 mil reais, não vou ir no coisa.
858.78 - 886.271:  E no momento que tu olha teu cartão e tu diz assim, ah, já tô longe do que eu tinha estabelecido. Agora já era, eu vou fazer mesmo. Piora, sabe? Então aquelas coisas de às vezes colocar uma meta muito audaciosa não ajuda. A gente tem que calibrar. Mas... É verdade. Ei, mas o que que tá bom? Então eu não sei qual que é o primeiro passo. O que que é o primeiro? Vamos lá. É... Entendi. Talvez o primeiro passo seja entender que tu tem um problema. Não é?
886.578 - 907.534:  Como é que eu chego a essa conclusão? Olhando a fatura do cartão de crédito? É olhando o vermelhinho lá na conta do banco? Você sabe que eu gosto muito do livro O Homem Mais Rico da Babilônia? Que conta a história de um cara, Bansir, acho, não lembro o nome do cara. Ele morava na Babilônia e ele cresceu com um amigo lá na Babilônia.
908.916 - 934.087:  cagado aí ele viu que tinha um amigo de infância deles que era rico para caramba e aí o livro começa quando ele faz um desabafo meio que falando assim para o amigo dele sei lá qual que é o nome da amiga o Tião mano só fica de saco cheio de ver que a gente trabalha que nem uma mula para nunca ter nada
934.65 - 949.326:  Você não tá vendo que a gente trabalha que nem todo mundo, mas a gente não tem uma moeda no nosso saco aqui e o cara ali tá rico. O outro lá que teve a mesma infância que a gente, era pobre do mesmo jeito. Tá milionário. É o homem mais rico da Babilônia, era o amigo dele, né?
949.735 - 967.142:  E surge uma insatisfação com ele de ver todo mundo vivendo muito melhor que ele, todo mundo curtindo a vida com paz. E eu sempre gosto de dizer que você curtir a vida toda endividada não é curtir com paz, é curtir amargurado, angustiado.
967.602 - 982.261:  E aí começa disso. A menos que tu seja um golpista. É, é. Sem consciência. Psicopata. Aí ele vai lá e o que ele faz? Ele vai conversar com esse amigo e fala, mano...
982.517 - 997.927:  Você estudou na mesma escola que eu. Você era pobre, rapaz, rapaz. Como é que você conseguiu fazer isso? Aí o homem mais rico da Babilônia começa a ensinar várias dicas pra ele. E aí eu pego disso, né? Que os dois primeiros passos pra você mudar de vida é o primeiro. Você ficar de saco cheio.
997.927 - 1021.425:  Porque a gente se acostuma com a pobreza. A pessoa se acostuma, né? A síndrome de Gabriel. Nasci assim, vou morrer assim, já tô todo cagado, então que se lasque mesmo, não vai mudar nunca, né? Não tem que mudar. Então o primeiro passo é você ficar cansado e o segundo é você buscar informação sobre isso, que foi o que no livro lá o cara fez com o cara mais rico. Foi o que o E.T. Bilu falou também, né? Oi? Foi o que o E.T. Bilu falou também. Exato.
1021.425 - 1045.196:  Então, começa por aí, sabe? Você tem que olhar para você e pensar, você está satisfeito com a sua vida? E por mais que olhando pareça que não, tem gente que acha que está tudo bem. Porque já, sei lá, cauterizou ali, sabe? A situação de que eu sou pobre, o país é pobre, não tenho condição, então vou morrer assim, é o que tem para hoje. Mas de que pobre que a gente está falando?
1045.196 - 1064.002:  Tem vários tipos, mas eu falo principalmente do pobre que realmente passa um perrengue. Tem o cara que está fodido. Tem o cara que está com sérios problemas. Ele está enfrentando muitas dificuldades. Está vendo como é fácil? Mas demora mais também.
1064.002 - 1089.104:  É melhor falar logo, né? Mas tá bom. Esse cara, por exemplo, ele não tem... É dia por dia, eu acho, né? Esse cara também. Não é desse cara que a gente tá falando. A gente tá falando de um cara que consegue, sei lá, que paga o aluguel com, sei lá, com 30% do salário. É de quem que a gente tá falando? É que são vários níveis de pobreza, né? Então, tipo...
1089.104 - 1096.186:  Eu gosto muito de pensar naquilo. Quem é o pobre para mim? É a pessoa que não tem dinheiro nenhum investido,
1096.527 - 1124.957:  trabalha o mês inteiro que nem uma jamanta só pra pagar boleto e isso independe de quanto ela ganha você comentou de gente que tá sofrendo que tá endividada e tal recentemente eu recebi mensagem de um cara que ele é um coordenador de uma empresa e ele trabalhava com esses esquemas aí tipo de que você tem pessoas abaixo de você que vai dando comissão e ele ganhava 60 mil aí caiu pra 30
1124.957 - 1145.811:  E, mano, tipo assim, ele tá desesperado. Não, fudeu, total. E é 30. Calma aí, acabou com a vida dele, atrapalhou muito. Lascou-se, né? Lascou-se. Então, são vários tipos, né? O que eu mais gosto de trabalhar sempre é o pobre mesmo, que tem uma renda baixa e que é difícil ele conseguir...
1145.811 - 1172.671:  subir na vida com aquela renda pequena. Então, por isso que eu falo de mudar de emprego, ir para uma área nova, fazer renda extra, né? Mas tem esses casos das pessoas que ganham um salário alto, mas que estão toda ferrada na vida. Só para pagar boleto o tempo todo. Então, eu acho que o ponto é esse. Você se identificar, você identificar em si mesmo. Algo precisa acontecer na minha vida. Porque tem gente que não, né? Tem gente que não... Falando aqui, o pior cego é o que não quer ver, né?
1172.671 - 1189.599:  Tipo, tem gente que não consegue perceber que tá ruim a situação, que não tá sendo bom pra família dele, que não tá dando qualidade de vida, que tá começando a vir os problemas emocionais, a saúde emocional dele tá sendo afetada, né? Então, acho que o start é a pessoa perceber que ela precisa de alguma mudança, sabe?
1189.923 - 1209.121:  E eu sempre parto do pressuposto de autoconhecimento, porque perceber o que está acontecendo na vida dela é autoconhecimento, né? Quando a gente para e começa a perceber como que a vida está acontecendo, muitas pessoas acabam falando exatamente disso, né? De que eu acordo, eu trabalho, eu durmo, não sei o que, não sei o que, não sei o que...
1209.121 - 1224.548:  E eu não vivo. E aí ela começa a se endividar e gastar mais porque ela quer, então, já que eu faço tudo isso, eu mereço viver, então eu mereço gastar. E aí ela começa a gastar mais do que as condições dela permitiriam e ela entra nesse ciclo vicioso.
1225.486 - 1249.309:  isso já pode ser considerado uma condição de eu estou pobre. Por quê? Porque eu não tenho nenhuma estrutura financeira que me garanta segurança. E quando eu falo em segurança, é... Bom, então qual é o primeiro passo? Autoconhecimento. Eu identificar qual é o meu contexto real e quais são os meus padrões de comportamento. Porque se a gente pensar assim, por que uma pessoa compra mais do que ela pode, se ela sabe que ela não pode?
1249.309 - 1264.292:  Isso é um padrão comportamental. Hoje em dia, compras compulsivas ainda não estão caracterizadas no DSM como um vício, mas estão caminhando para isso. Já tem pesquisa de neuroimagem indicando isso. É um problema que tem aumentado?
1264.974 - 1283.814:  a gente tem uma incidência que fica em torno de 3% a 5% de compra compulsiva no mundo. Aumentar a gente não consegue sinalizar porque antes não era tão discutido. Então, é que nem a gente dizer assim, ah, problema de saúde mental está aumentando no mundo. Na verdade, talvez o que a gente não tinha era diagnóstico. Entendeu?
1283.814 - 1303.575:  Será que está aumentando? Em relação à compra compulsiva, a gente pode partir do mesmo pressuposto. Talvez antes não tinha diagnóstico, agora tem. E tem toda a mídia, a propaganda, que está muito mais forte, a internet, que gera essa compra compulsiva maior. É muito fácil. Aquele lance da madruga ali, que tu abre o aplicativo. É muito fácil.
1303.575 - 1329.036:  E é realmente uma recompensa rápida, né? E aí a pessoa que tá exatamente nessa condição, trabalhando o dia inteiro e tal, ela fica muito suscetível a esse tipo de coisa. Porque ela realmente tá fragilizada emocionalmente, ela tá se sentindo incapaz de mudar a vida dela. Então é como se aquela próxima compra fosse a única coisa que dissesse pra ela assim, tu ainda tá viva. Hum...
1329.121 - 1357.551:  E aí ela vai lá e passa aquele cartão. Então, essa percepção é um primeiro passo importante. Uma mentorada minha hoje mandou mensagem dizendo... Nossa, foi o primeiro final de semana que eu consegui... Seguir os passos e não cair nas tentações. Isso é o primeiro passo. É essa construção de tu entender... Eu tenho vícios comportamentais com o dinheiro... Que estão me levando a uma má condição. Eu não tenho, por exemplo, segurança financeira...
1358.302 - 1385.981:  Exemplo muito fácil de segurança, porque todo mundo diz, todo educador financeiro manda a gente fazer reserva de emergência, para que essa porcaria aí, se eu posso investir em uma coisa que me dá um retorno maior. Por quê? Porque sem segurança financeira, você não tem sanidade mental. Pega situações muito complexas, tipo uma pandemia, o que está acontecendo no Rio Grande do Sul, são crises realmente. Quem são as pessoas que sofrem mais do ponto de vista psicológico? Aquelas que não têm segurança financeira.
1385.981 - 1406.186:  Então, o impacto emocional de crises nas pessoas que não têm segurança financeira é maior. E isso aumenta, por exemplo, tem um estudo mostrando que a incidência de ansiedade e depressão poderia aumentar em 16% se houvesse uma nova pandemia. Só pelo fato de não ter segurança financeira.
1406.186 - 1424.48:  Então, para mim, o primeiro passo é esse. É meio que olhar e dizer assim, quem sou eu em relação ao dinheiro? O que o dinheiro tem representado na minha vida? O que eu tenho comprado com o dinheiro, que são coisas que têm alimentado o quê dentro de mim? Hum.
1424.48 - 1442.756:  É um vazio? É um sentimento de eu quero tentar ser pertencente? Por exemplo assim, vou dar um exemplo. Eu não gosto desse tipo de brinquedo. Mas o Igor tem, então eu quero ter um igual. Então eu vou gastar meu dinheiro com isso. Mas então tu tá gastando porque tu tá querendo...
1443.37 - 1467.466:  entrar naquele contexto, e não propriamente porque pra ti é importante. Então, acho que esse é o primeiro passo, assim, é a gente conseguir entender, se entender, porque daqui a pouco o que tu tá fazendo com o teu dinheiro não tem nada a ver contigo. Tu tá só, ou tem a ver com as tuas emoções, pra tapar um vazio. Quem compra muito, na maior parte das vezes, tem baixa autoestima.
1467.466 - 1492.295:  tem mais tendência à flutuação emocional, então eu compro para me sentir melhor, essa coisa assim de, ah, essa coisa aqui da madrugada passou aqui, ah, vou comprar, vou me sentir bem e tal. Então as pessoas elas gastam dinheiro não pelo que elas estão comprando em si, o objeto em si, mas sempre tem um significado por trás disso. Que significado é esse?
1493.319 - 1518.729:  É aí que a gente tem que começar a tentar entender para que a gente consiga mudar esse comportamento. Para que a gente consiga... É o incômodo que o Duda fala, né? É esse incômodo e é entender esse incômodo. Que incômodo? De onde vem esse incômodo? Tá, agora eu entendi, por exemplo, que eu tenho uma tendência a comprar porque eu quero me sentir pertencente àquele grupo. Então, se o Igor tem isso aqui, eu quero ter também.
1518.729 - 1540.23:  Ah, mas será que isso faz sentido pra mim? Então é esse exercício de autoconhecimento que pra mim é o primeiro passo, assim. É se entender. É. Difícil, eu sei que não é. É, é porque assim, a gente tá falando do cara que ele compra... Vamos lá, o que ele faz...
1541.152 - 1559.224:  É a mesma vibe do cara que come pra ansiedade, o cara que come pra se sentir melhor. É a mesma vibe, né? Tem a ver com a dopamina também, né? Você quer explicar sobre a dopamina? Você me explicou aquele dia lá? Se a gente for pensar, o dinheiro nunca vai ser uma recompensa primária.
1559.462 - 1576.135:  Por exemplo, eu vou tomar uma água, vou matar a sede, vou comer, eu estou matando a minha fome, eu vou dormir, eu preciso, é fisiológico. Você está falando que... Eu não sei, porque o que você está falando, pelo que eu entendi, é o tio Patinhas não existe no mundo real. O cara que tem o dinheiro pelo dinheiro, para ter dinheiro.
1576.135 - 1591.664:  É, não, porque ele tem que sempre atribuir um significado àquilo, entendeu? Então, assim, o dinheiro pelo dinheiro, na verdade, o dinheiro é uma fonte secundária de prazer, porque ele não é o que é ter dado prazer, ele é o meio para que tu consiga aquilo que tu gostaria.
1591.664 - 1616.817:  E aí entra essa questão da dopamina. Por exemplo, a gente pode entrar em vários âmbitos. Por exemplo, jogo patológico. A gente pode entrar no âmbito de compra compulsiva ou simplesmente no comprar por buscar uma recompensa. O nosso cérebro tem o que a gente chama de sistema de recompensa. Ele vai estar lá dentro do nosso núcleo cúmbice. E nessa área vai estar liberando dopamina.
1616.817 - 1643.029:  Dopamina é como se fosse um combustível, é um neurotransmissor, mas falando assim de uma forma muito didática, é como se fosse combustível do carro. Sem a dopamina, o carro não anda. Sem dopamina no cérebro, sem combustível, o carro não anda. Sem dopamina no cérebro, a gente não se movimenta. Então, eu só vou pegar para tomar água quando eu estiver com sede. Então, tem algo, tem disparo dizendo para eu buscar aquilo, né?
1644.787 - 1670.316:  E aí é bom, só que também é ruim. Vamos supor que a gente vai colocar um combustível hiper mega potente, sei lá. Isso não existe, mas só criando a construção da história. Eu vou pegar um combustível de um avião e vou colocar no carro. E aí eu vou acelerar o que antes eu saía de zero a cem, agora eu saí no carro de zero a, sei lá, mil, que é os quilômetros que o carro é. Aí eu extrapolei.
1670.316 - 1690.623:  É aí que a gente entra num processo de que eu não consigo mais controlar o meu impulso. Eu vou alimentando aquilo de uma forma que vai me gerando um nível de recompensa que eu não quero parar. Então, por exemplo, pessoas que têm compra compulsiva, o simples fato de eu olhar...
1690.623 - 1711.442:  Uma sacola com compra... Dispara a dopamina no cérebro dela... Uma pessoa que tem... Vício de jogo... O simples fato de olhar a possibilidade de jogar... Dispara a dopamina no cérebro dele... E ele não consegue se controlar... É por isso que é tão difícil... Que as pessoas dizem assim... Mas é só ter força de vontade... Por que você não faz...
1711.442 - 1735.964:  Pelo amor de Deus, seu preguiçoso, seu não sei o quê. Quando, na verdade, tem toda uma fisiologia por trás que altera como que tu vai reagir a determinadas circunstâncias. E aí, isso faz com que as pessoas, muitas vezes, elas não conseguem realmente se controlar. Então, esse autoconhecimento, ele é importante. Porque daí a pessoa vai olhar e dizer assim, nossa, então eu não estou conseguindo me controlar.
1736.391 - 1750.384:  Será que eu não mimei o meu sistema de recompensa? Será que eu não dei tanto estímulo, tanto estímulo, tanto estímulo que agora eu não sei mais viver sem comprar, por exemplo?
1751.22 - 1779.906:  Então, é como se a gente colocasse um combustível muito mais potente e eu perco a capacidade de controlar ele. É aquela coisa de a gente estar sempre buscando recompensa, recompensa, recompensa, recompensa. Eu mereço. É. De sexta-feira. Eu trabalhei a semana inteira e eu mereço. Quem está triste não está mais. É. Exato. E isso aí... Vou pôr, sou o rei do camarote hoje. E é compreensível porque, tipo assim, o brasileiro trabalha muito. Uhum.
1779.906 - 1803.763:  E o pobre tem uma vida lascada. Então, tipo... Quando ele não consegue ver o... O quão promissor é começar a investir hoje... A balada... Vale mais. Anima muito mais. Comprar o tênis vai dar um prazer imediato... Que o investimento só dá no médio pra longo prazo. Se bem que depende da pessoa. Sabe uma coisa que eu acho interessante? É...
1803.985 - 1830.674:  Muitas vezes o brasileiro não está tão preocupado em investir porque ele nunca soube como é bom ter dinheiro na conta. Tipo assim, desde os 16 ele já é lascado. Tipo assim, ele nunca teve 3 mil. Ele nunca teve 5. Então, às vezes a gente pensa assim, tipo investimento. Ah, juntar 1 milhão, juntar 500 mil. Cara, o brasileiro quando ele abre o celular, ele pagou todas as contas e está 5 mil positivo, é um prazer que ele nunca experimentou na vida.
1830.964 - 1852.363:  Esses dias, por exemplo, eu fui gravar um vídeo, fui gravar um vídeo, fui num evento do meu livro, e aí eu fico lá recebendo as pessoas, elas sentam e contam o depoimento, né? Aí chegou uma senhora, falou, Duda, vem aqui, vem aqui, oi, olha aqui. Ela me mostrou o celular, tinha tipo, acho que quase seis mil reais, e ela falou, eu nunca tive tanto dinheiro na minha vida.
1852.585 - 1878.012:  E o sorriso, tipo, ela veio de longe pra me mostrar isso. Entende? Eu não tô falando de 50 pau de 200 mil. É um prazer que ela nunca viu. Sei lá, tinha 50 anos. Desde talvez os 12 que ela trabalhava, nunca teve tanto dinheiro. E quando você começa a ver o dinheiro, isso te dá uma paz absurda. Dá paz. Dá essa segurança financeira que a gente tá falando, né? Porque o brasileiro, a vida do brasileiro...
